work_order_id,component_number,equipment_number,component_category,comment,users,created_at,scheduled_start_date,scheduled_completion_date,started_at,estimated_hours,actual_hours,finished_at,actual_start_date,status,priority,was_planned_maintenance,did_require_shutdown,activity_type
3061526,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,PREVENTIVE INSPECTION EVERY 250HRS,21711,17-Feb-16,27-Feb-16,27-Feb-16,2/27/2016 13:00,1,1,28-Feb-16,28-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3061527,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,PREVENTIVE MAINTENANCE EVERY 1000HRS,21711,17-Feb-16,16-Mar-16,16-Mar-16,3/16/2016 6:00,1,1,16-Mar-16,16-Mar-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3061528,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,PREVENTIVE INSPECTION EVERY 250HRS,21711,17-Feb-16,01-Apr-16,01-Apr-16,04-01-16 13:00,NULL,NULL,01-Apr-16,01-Apr-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3061655,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,Check the operation of the load indicator panels.,19913,17-Feb-16,27-Feb-16,27-Feb-16,2/27/2016 13:40,2,2,27-Feb-16,27-Feb-16,Closed,2 - Due less than 14 days,N,Required,IN-Inspection
3062448,PV1-1123-TRH0408-ENG-PPF,408,PUMP FUEL ENGINE HAULTRUCK CATERPILLAR 789C 408,CORRECT TRANSFER PUMP FAILURE.,37470,17-Feb-16,17-Feb-16,17-Feb-16,2/17/2016 15:09,16,16,17-Feb-16,17-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3063088,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION A / C IN INSP. 250 HRS,30796,18-Feb-16,27-Feb-16,27-Feb-16,2/27/2016 11:16,1,1,28-Feb-16,28-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3063114,PV1-1123-TRH0408-FIRE,408,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 408,AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),30796,18-Feb-16,27-Feb-16,27-Feb-16,2/27/2016 10:40,2,1,28-Feb-16,28-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3063424,PV1-1123-TRH0408-DTS-BRK,408,SYSTEM BRAKE DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,BRAKE PEDAL VALVE CHANGE,26123,18-Feb-16,18-Feb-16,18-Feb-16,2/18/2016 10:53,3,1,18-Feb-16,18-Feb-16,Closed,0 - Immediate,N,Required,RE-Replace
3063950,PV1-1123-TRH0408-ENG-STR,408,STARTER ENGINE HAULTRUCK CATERPILLAR 789C 408,MAKE EQUIPMENT IGNITION.,37814,18-Feb-16,18-Feb-16,19-Feb-16,2/18/2016 22:47,3,2,18-Feb-16,18-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3065845,PV1-1123-TRH0408-HYS-SS,408,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,"EVENT OF LOW PRESSURE IN THE DIRECTION, LEVEL 3.",37814,22-Feb-16,22-Feb-16,22-Feb-16,2/22/2016 1:32,10,10,21-Feb-16,21-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3066534,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,Replace battery (end of life),37816,22-Feb-16,22-Feb-16,22-Feb-16,2/22/2016 12:02,2,1,22-Feb-16,22-Feb-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3067063,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,RETURN TIRES POS 6,37470,22-Feb-16,22-Feb-16,22-Feb-16,2/22/2016 20:16,1,2,22-Feb-16,22-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3074320,PV1-1123-TRH0408-FRM,408,FRAME HAULTRUCK CATERPILLAR 789C 408,CHANGE LUBRICATION HOSE OF LEVANTE RH CYLINDER. (BACKLOG),37814,29-Feb-16,29-Feb-16,29-Feb-16,2/29/2016 6:45,4,5,29-Feb-16,29-Feb-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3080623,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,PREVENTIVE MAINTENANCE EVERY 500HRS,21711,03-Mar-16,13-Apr-16,14-Apr-16,4/13/2016 17:30,10,24,13-Apr-16,13-Apr-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3080650,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,PREVENTIVE INSPECTION EVERY 250HRS,21711,03-Mar-16,03-Jul-16,03-Jul-16,07-03-16 8:23,2,NULL,05-May-16,05-May-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3082159,PV1-1123-TRH0408-HYS-CSTEER-R,408,CYLINDER STEERING RIGHT HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,REPAIR STEERING CYLINDER RIGHT MORE CHANGE OF HYDRAULIC HOSE.,37815,05-Mar-16,05-Mar-16,05-Mar-16,03-05-16 6:42,24,20,05-Mar-16,05-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3082177,PV1-1123-TRH0408-HYS-CSTEER-R,408,CYLINDER STEERING RIGHT HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,"REPLACE TERMINAL CYLINDER RIGHT SIDE, TO SUPPLY WO. 3064554 - 2976607 (BACKLOG).",37815,05-Mar-16,05-Mar-16,05-Mar-16,03-05-16 8:09,10,NULL,05-Mar-16,05-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3082444,PV1-1123-TRH0408-DTS-TRA,408,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE TRANSMISSION LUBRICATION FILTER RESTRICTION SWITCH.,37814,05-Mar-16,05-Mar-16,05-Mar-16,03-05-16 22:06,2,2,05-Mar-16,05-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3082447,PV1-1123-TRH0408-HYS-CSTEER-R,408,CYLINDER STEERING RIGHT HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,TORQUE NUT DIRECTION CYLINDER RIGHT SIDE.,37814,05-Mar-16,05-Mar-16,05-Mar-16,03-05-16 22:17,3,6,05-Mar-16,05-Mar-16,Closed,1 - Due less than 7 days,N,Required,AD-Adjust
3085425,PV1-1123-TRH0408-FRM-CAB,408,CAB AND CONTROLS FRAME HAULTRUCK CATERPILLAR 789C 408,ADJUSTING REAR VIEW MIRRORS.,37815,08-Mar-16,08-Mar-16,08-Mar-16,03-08-16 12:25,2,1,08-Mar-16,08-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3085433,PV1-1123-TRH0408-AIR,408,AIR SYSTEM HAULTRUCK CATERPILLAR 789C 408,ADJUSTING HOSE FROM TANK TO TANK OF THE AIR SYSTEM.,37815,08-Mar-16,08-Mar-16,08-Mar-16,03-08-16 12:30,2,7,08-Mar-16,08-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3088584,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Front ladder adjustment,37816,10-Mar-16,10-Mar-16,10-Mar-16,03-10-16 11:05,2,4,10-Mar-16,10-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3089376,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION A / C IN INSP. 1000 HRS,30796,11-Mar-16,16-Mar-16,16-Mar-16,3/16/2016 6:08,1,1,16-Mar-16,16-Mar-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3089412,PV1-1123-TRH0408-FIRE,408,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 408,AFEX FIRE SYSTEM INSPECTION (PM 1000 HRS),30796,11-Mar-16,16-Mar-16,16-Mar-16,3/16/2016 8:02,2,3,16-Mar-16,16-Mar-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3089520,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Replace main shaft crosshead,37816,11-Mar-16,11-Mar-16,11-Mar-16,03-11-16 10:56,2,6,11-Mar-16,11-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3090725,PV1-1123-TRH0408-HYS,408,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,Replace coolant hose,37816,12-Mar-16,12-Mar-16,12-Mar-16,03-12-16 5:49,4,10,12-Mar-16,12-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3091335,PV1-1123-TRH0408-HYS-SS,408,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,CORRECTION STEERING OIL LEAKAGE BY CYLINDER ON RIGHT SIDE.,37814,13-Mar-16,13-Mar-16,13-Mar-16,3/13/2016 7:48,2,2,13-Mar-16,13-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3091336,PV1-1123-TRH0408-HYS-SS,408,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE DIRECTION CYLINDER LUBRICATION HOSE.,37814,13-Mar-16,13-Mar-16,13-Mar-16,3/13/2016 7:50,3,4,13-Mar-16,13-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3091339,PV1-1123-TRH0408-HYS-SS,408,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE DIRECTION CYLINDER LUBRICATION HOSE. (BACKLOG),37814,13-Mar-16,13-Mar-16,13-Mar-16,3/13/2016 7:59,2,2,13-Mar-16,13-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3091363,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,CHANGE GREASE HOSE.,30757,13-Mar-16,17-Aug-16,17-Aug-16,8/17/2016 14:56,4,4,04-Aug-16,04-Aug-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3091517,PV1-1123-TRH0408-DTS-BRK-REL,408,BRAKE LEFT REAR DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE ENGINE COOLER BY-PASS HOSE AND REAR BRAKES.,30757,13-Mar-16,25-Jul-16,25-Jul-16,7/25/2016 20:20,2,NULL,12-Jul-16,12-Jul-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3091540,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,CHANGE ENGINE COOLER RETURN HOSE TO RADIATOR.,30757,13-Mar-16,25-Jul-16,26-Jul-16,7/25/2016 23:10,2,NULL,12-Jul-16,12-Jul-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3091554,PV1-1123-TRH0408-DTS-TRA,408,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE HOSE FROM THE TRANSMISSION PUMP.,30757,13-Mar-16,14-Apr-16,14-Apr-16,4/14/2016 0:25,2,2,13-Apr-16,13-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3091580,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,INSTALL BRAKE PEDAL PROTECTOR COVERS.,30757,13-Mar-16,25-Jul-16,25-Jul-16,7/25/2016 19:04,1,NULL,12-Jul-16,12-Jul-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3091725,PV1-1123-TRH0408-DTS-BRK,408,SYSTEM BRAKE DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,AIR TRAFFIC BY SERVICE BRAKE VALVE AND CORRECT FALSE CONTACT IN WORK LIGHTS.,37815,13-Mar-16,13-Mar-16,13-Mar-16,3/13/2016 21:11,4,5,13-Mar-16,13-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3092507,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,REPLACE TIMER. (BACKLOG),37814,14-Mar-16,14-Mar-16,14-Mar-16,3/14/2016 12:05,4,6,14-Mar-16,14-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3092858,PV1-1123-TRH0408-ENG-INJ,408,INJECTOR ENGINE HAULTRUCK CATERPILLAR 789C 408,CORRECTION INJECTION FAILURE.,37814,14-Mar-16,14-Mar-16,14-Mar-16,3/14/2016 14:42,1,1,14-Mar-16,14-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3096243,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,POSITION 1 AND 2 TIRES CHANGE FOR ROTATION and inspection of rim 5 and 6 (crop),36886,16-Mar-16,07-May-16,07-May-16,05-07-16 9:00,24,55,07-May-16,07-May-16,Closed,3 - Due less than 30 days,Y,Required,RE-Replace
3098980,PV1-1123-TRH0408-FRM-SSPN,408,SYSTEM SUSPENSION FRAME HAULTRUCK CATERPILLAR 789C 408,LOAD FRONT SUSPENSIONS,37470,17-Mar-16,17-Mar-16,17-Mar-16,3/17/2016 16:02,4,10,17-Mar-16,17-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3099322,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Welding tureca to support guardalodos,37816,18-Mar-16,18-Mar-16,18-Mar-16,3/18/2016 2:29,1,7,18-Mar-16,18-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3100843,PV1-1123-TRH0408-ENG-COOL,408,COOLING SYSTEM ENGINE HAULTRUCK CATERPILLAR 789C 408,CORRELATE COOLANT LEAKAGE BY PIPED HOSE,37470,19-Mar-16,19-Mar-16,19-Mar-16,3/19/2016 13:30,4,12,19-Mar-16,19-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3107328,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,REPAIR CABIN CEILING WORK LIGHT + LADDER LIGHT.,37814,21-Mar-16,21-Mar-16,21-Mar-16,3/21/2016 20:44,4,8,22-Mar-16,21-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3109866,PV1-1123-TRH0408-DTS-TRA,408,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,ADDITIONAL IN THE ARMED TRANSMISSION.,37815,22-Mar-16,22-Mar-16,22-Mar-16,3/22/2016 7:38,1,10,22-Mar-16,22-Mar-16,Closed,2 - Due less than 14 days,N,Not Required,SR-Service
3109929,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,Change of crown bolts and pos. 3,36966,22-Mar-16,14-Apr-16,14-Apr-16,4/14/2016 12:00,12,12,14-Apr-16,14-Apr-16,Closed,2 - Due less than 14 days,Y,Not Required,RP-Repair
3110635,PV1-1123-TRH0408-IMP-BED,408,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 408,Assembly of number laterals of the hopper (wo doubled with wo 3009816),28726,22-Mar-16,16-Jul-16,16-Jul-16,7/16/2016 14:52,6,NULL,NULL,NULL,Cancelled,3 - Due less than 30 days,Y,Required,RP-Repair
3115318,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION A / C IN PM 250 HRS,30796,23-Mar-16,01-Apr-16,01-Apr-16,04-01-16 13:16,1,1,01-Apr-16,01-Apr-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3115532,PV1-1123-TRH0408-FIRE,408,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION SYSTEM AFEX FIRE RED (PM 250 HRS),30796,23-Mar-16,01-Apr-16,01-Apr-16,04-01-16 14:20,2,2,01-Apr-16,01-Apr-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3116301,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,CHANGE FAST FUEL TANK CONNECTOR + FUEL CHECK VALVE.,37814,23-Mar-16,23-Mar-16,24-Mar-16,3/23/2016 22:59,8,9,24-Mar-16,23-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3119718,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,CHANGE ANTI-RETURN VALVE OF THE COMBUSTIBLE TANK FILLING SYSTEM. (BACKLOG) (N),37814,24-Mar-16,24-Oct-16,07-Nov-16,10/24/2016 14:38,3,3,14-Oct-16,14-Oct-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3133895,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Adjust grease injector of air frame pin check automatic lubrication system,38045,28-Mar-16,13-Apr-16,13-Apr-16,4/13/2016 22:13,2,4,13-Apr-16,13-Apr-16,Closed,3 - Due less than 30 days,N,Required,MO-Modify
3135987,PV1-1123-TRH0408-DTS-TRA,408,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION AND REPAIR FOR LEAKAGE IN TRANSMISSION.,37814,29-Mar-16,29-Mar-16,29-Mar-16,3/29/2016 9:08,4,4,29-Mar-16,29-Mar-16,Closed,1 - Due less than 7 days,N,Required,IN-Inspection
3143471,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Recharge suspensions,28589,31-Mar-16,31-Mar-16,01-Apr-16,3/31/2016 23:43,4,9,31-Mar-16,31-Mar-16,Closed,0 - Immediate,N,Required,AD-Adjust
3147995,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,Replace battery,37816,02-Apr-16,02-Apr-16,02-Apr-16,04-02-16 20:34,4,3,02-Apr-16,02-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3152732,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,REPLACE A / C COMPRESSOR BELT,37470,04-Apr-16,04-Apr-16,04-Apr-16,04-04-16 6:52,2,2,04-Apr-16,04-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3156486,PV1-1123-TRH0408-FRM-CAB,408,CAB AND CONTROLS FRAME HAULTRUCK CATERPILLAR 789C 408,"REPLACE BACKLOG ** Evaluate if it is real, if not return material ** ",32468,05-Apr-16,17-Apr-17,17-Apr-17,4/17/2017 11:54,2,NULL,NULL,NULL,Released,3 - Due less than 30 days,N,Required,RE-Replace
3161020,PV1-1123-TRH0408-FRM-CAB,408,CAB AND CONTROLS FRAME HAULTRUCK CATERPILLAR 789C 408,(N) (HAS DIRECT ORDER MATERIALS),37814,06-Apr-16,06-Apr-16,06-Apr-16,04-06-16 21:26,2,3,06-Apr-16,06-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3161022,PV1-1123-TRH0408-FRM-CAB,408,CAB AND CONTROLS FRAME HAULTRUCK CATERPILLAR 789C 408,REPAIR FRONT GLASS CLEAN ARM.,37814,06-Apr-16,13-May-16,13-May-16,5/13/2016 16:00,2,2,13-May-16,13-May-16,Closed,1 - Due less than 7 days,Y,Required,RE-Replace
3161026,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE CRYSTAL CLEAN ARM. (BACKLOG),37814,06-Apr-16,30-Apr-16,30-Apr-16,4/30/2016 14:54,2,NULL,30-Apr-16,30-Apr-16,Closed,1 - Due less than 7 days,Y,Required,RE-Replace
3163758,PV1-1123-TRH0408-ENG-RAD,408,RADIATOR ENGINE HAULTRUCK CATERPILLAR 789C 408,INSTALL SWITCH UP AND DOWN CRYSTAL CABIN. (BACKLOG),28360,07-Apr-16,02-Jun-16,04-Jun-16,06-02-16 9:41,80,40,02-Jun-16,02-Jun-16,Closed,5 - Shutdown,N,Required,RE-Replace
3163976,PV1-1123-TRH0408-FIRE,408,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE RADIATOR.PCR08-2,30796,07-Apr-16,13-Apr-16,13-Apr-16,4/13/2016 19:08,2,2,13-Apr-16,13-Apr-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3164003,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION SYSTEM AFEX FIRE RED,30796,07-Apr-16,13-Apr-16,13-Apr-16,4/13/2016 21:16,1,2,13-Apr-16,13-Apr-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3167852,PV1-1123-TRH0408-HYS,408,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECTION A / C IN PM,37815,08-Apr-16,08-Apr-16,08-Apr-16,04-08-16 9:44,2,21,08-Apr-16,08-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3168241,PV1-1123-TRH0408-ENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,CHANGE OF HYDRAULIC HOSE OF BRAKE COOLING.,37814,08-Apr-16,08-Apr-16,08-Apr-16,04-08-16 20:46,4,2,08-Apr-16,08-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3170791,PV1-1123-TRH0408-HYS-CSTEER-L,408,CYLINDER STEERING LEFT HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,EVALUATE OR CORRECT ENGINE OIL LEAKAGE.,37815,09-Apr-16,09-Apr-16,09-Apr-16,04-09-16 9:19,2,2,09-Apr-16,09-Apr-16,Closed,0 - Immediate,N,Required,RP-Repair
3181888,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,CHANGE OF LEFT CYLINDER CYLINDER HEAD HOSE.,37816,12-Apr-16,12-Apr-16,12-Apr-16,04-12-16 7:40,1,1,12-Apr-16,12-Apr-16,Closed,1 - Due less than 7 days,N,Required,IN-Inspection
3182520,PV1-1123-TRH0408-DTS-DIF,408,DIFFERENTIAL DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,INSPECT LUBRICATING SYSTEM,21711,12-Apr-16,25-Apr-16,25-Apr-16,4/25/2016 14:09,11,NULL,NULL,NULL,Cancelled,5 - Shutdown,Y,Required,RP-Repair
3182885,PV1-1123-TRH0408-DTS,408,DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,CLEANING MIRROR DIFFERENTIAL OIL AND CHECK AND INSPECTION LEVEL SWITCH.,37816,12-Apr-16,03-Jun-16,03-Jun-16,06-03-16 9:39,16,16,03-Jun-16,03-Jun-16,Closed,5 - Shutdown,Y,Required,RE-Replace
3186316,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,Replace half-axles LH / RH,37816,13-Apr-16,13-Apr-16,13-Apr-16,4/13/2016 12:25,6,6,13-Apr-16,13-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3187142,PV1-1123-TRH0408-HYS,408,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,Change the screens of the computer,37470,13-Apr-16,13-Apr-16,14-Apr-16,4/13/2016 23:15,2,6,20-Apr-16,20-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3190004,PV1-1123-TRH0408-ENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,REPLACE STEERING PUMP HOSE,37814,14-Apr-16,14-Apr-16,14-Apr-16,4/14/2016 9:13,2,1,14-Apr-16,14-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3199545,PV1-1123-TRH0408-ELS,408,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE ENGINE AIR FILTER.,37470,18-Apr-16,18-Apr-16,18-Apr-16,4/18/2016 13:54,1,1,18-Apr-16,18-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3201791,PV1-1123-TRH0408-ENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,MAKE OPERATOR DOOR SWITCH ELECTRICAL SYSTEM INSPECTION,28360,19-Apr-16,03-Jun-16,03-Jun-16,06-03-16 9:42,12,12,03-Jun-16,03-Jun-16,Closed,5 - Shutdown,N,Required,RE-Replace
3201803,PV1-1123-TRH0408-ACS,408,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE COMBUSTION ENGINE HOSES INTERNA.PCR08-2,28360,19-Apr-16,02-Jun-16,02-Jun-16,06-02-16 9:43,8,8,02-Jun-16,02-Jun-16,Closed,5 - Shutdown,N,Required,RE-Replace
3207493,PV1-1123-TRH0408-HYS,408,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE AIR CONDITIONING HOSE.PCR08-2,21713,21-Apr-16,13-Jun-16,13-Jun-16,6/13/2016 8:15,20,NULL,13-Jun-16,13-Jun-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3214262,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,MODIFY SELF-SERVICE SYSTEM,37814,24-Apr-16,24-Apr-16,24-Apr-16,4/24/2016 2:50,6,8,24-Apr-16,24-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3214586,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,CHANGE TIRE POSITION 5 AND 6. POSITION 5 BY PUSHING. POSITION 6 PER BUCHE.,37814,24-Apr-16,24-Apr-16,24-Apr-16,4/24/2016 21:41,1,1,24-Apr-16,24-Apr-16,Closed,1 - Due less than 7 days,N,Required,AD-Adjust
3216589,PV1-1123-TRH0408-DTS-DIF,408,DIFFERENTIAL DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,RETRACTATION OF RIM POSITION 6.,21711,25-Apr-16,13-May-16,13-May-16,5/13/2016 10:08,0,NULL,NULL,NULL,Cancelled,3 - Due less than 30 days,Y,Required,RP-Repair
3216746,PV1-1123-TRH0408-DTS-DIF,408,DIFFERENTIAL DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 408,CLEANING MIRROR DIFFERENTIAL OIL AND CHECK AND INSPECTION LEVEL SWITCH.,21711,25-Apr-16,13-May-16,13-May-16,5/13/2016 13:15,0,NULL,13-May-16,13-May-16,Closed,4 - Due more than 30 days,Y,Required,RP-Repair
3217084,PV1-1123-TRH0408-TIR,408,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 408,CLEANING MIRROR DIFFERENTIAL OIL AND CHECK AND INSPECTION LEVEL SWITCH.,37815,25-Apr-16,25-Apr-16,25-Apr-16,4/25/2016 11:31,18,7,24-Apr-16,24-Apr-16,Closed,0 - Immediate,N,Required,RP-Repair
3224200,PV1-1123-TRH0408-ENG-STR,408,STARTER ENGINE HAULTRUCK CATERPILLAR 789C 408,POST - 5 AND 6 ROLLER CHANGE.,37470,27-Apr-16,27-Apr-16,27-Apr-16,4/27/2016 21:01,4,6,28-Apr-16,27-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3224221,PV1-1123-TRH0408,408,HAULTRUCK CATERPILLAR 789C 408,REPLACE STARTING ENGINE BY IGNITION FAILURE,36968,27-Apr-16,27-Apr-16,27-Apr-16,4/27/2016 21:56,1,1,27-Apr-16,27-Apr-16,Closed,0 - Immediate,N,Required,AD-Adjust
